North Lot,,,East Lot,,,Overflow,,
21_of_100,,,45_of_60,,,0_of_40,,
E/D,n_of_m,time,E/D,n_of_m,time,E/D,n_of_m,time
E,21_of_100,2025-10-22 18:38:52,D,54_of_60,2025-11-10 13:58:44,D,0_of_40,2025-11-10 13:58:44
E,22_of_100,2025-11-10 13:58:44,D,53_of_60,2025-11-10 14:22:17,D,0_of_40,2025-11-10 14:22:17
D,21_of_100,2025-11-10 13:58:44,D,52_of_60,2025-11-10 14:22:51,D,0_of_40,2025-11-10 14:22:51
E,22_of_100,2025-11-10 14:22:17,D,51_of_60,2025-11-10 14:22:59,D,0_of_40,2025-11-10 14:22:59
D,21_of_100,2025-11-10 14:22:17,D,50_of_60,2025-11-10 14:31:04,D,0_of_40,2025-11-10 14:31:04
E,22_of_100,2025-11-10 14:22:51,D,49_of_60,2025-11-10 14:33:32,D,0_of_40,2025-11-10 14:33:32
D,21_of_100,2025-11-10 14:22:51,D,48_of_60,2025-11-10 14:35:21,D,0_of_40,2025-11-10 14:35:21
E,22_of_100,2025-11-10 14:22:59,D,47_of_60,2025-11-10 15:20:09,D,0_of_40,2025-11-10 15:20:09
D,21_of_100,2025-11-10 14:22:59,D,46_of_60,2025-11-10 15:20:23,D,0_of_40,2025-11-10 15:20:23
E,22_of_100,2025-11-10 14:31:04,D,45_of_60,2025-11-10 15:20:41,D,0_of_40,2025-11-10 15:20:41
D,21_of_100,2025-11-10 14:31:04,,,,,,
E,22_of_100,2025-11-10 14:33:32,,,,,,
D,21_of_100,2025-11-10 14:33:32,,,,,,
E,22_of_100,2025-11-10 14:35:21,,,,,,
D,21_of_100,2025-11-10 14:35:21,,,,,,
E,22_of_100,2025-11-10 15:20:09,,,,,,
D,21_of_100,2025-11-10 15:20:09,,,,,,
E,22_of_100,2025-11-10 15:20:23,,,,,,
D,21_of_100,2025-11-10 15:20:23,,,,,,
E,22_of_100,2025-11-10 15:20:41,,,,,,
D,21_of_100,2025-11-10 15:20:41,,,,,,
